Draw id, Number of Tiers, apr, Total Yield Amount Out (usd), Total Liquidation Amount In (usd), Total Contrib (usd), Hook contrib (usd), POOL Vault Contrib. (usd), Start Draw Reward, Finish Draw Reward, tier0LiquidityRemaining, tier1LiquidityRemaining, tier2LiquidityRemaining, tier3LiquidityRemaining, tier4LiquidityRemaining, tier5LiquidityRemaining, tier6LiquidityRemaining, tier7LiquidityRemaining, tier8LiquidityRemaining, tier9LiquidityRemaining, tier10LiquidityRemaining, tier0PrizeSizes, tier1PrizeSizes, tier2PrizeSizes, tier3PrizeSizes, tier4PrizeSizes, tier5PrizeSizes, tier6PrizeSizes, tier7PrizeSizes, tier8PrizeSizes, tier9PrizeSizes, tier10PrizeSizes, tier0PrizeSizesUsd, tier1PrizeSizesUsd, tier2PrizeSizesUsd, tier3PrizeSizesUsd, tier4PrizeSizesUsd, tier5PrizeSizesUsd, tier6PrizeSizesUsd, tier7PrizeSizesUsd, tier8PrizeSizesUsd, tier9PrizeSizesUsd, tier10PrizeSizesUsd, tier0ClaimedPrizes, tier1ClaimedPrizes, tier2ClaimedPrizes, tier3ClaimedPrizes, tier4ClaimedPrizes, tier5ClaimedPrizes, tier6ClaimedPrizes, tier7ClaimedPrizes, tier8ClaimedPrizes, tier9ClaimedPrizes, tier10ClaimedPrizes, tier0ComputedPrizes, tier1ComputedPrizes, tier2ComputedPrizes, tier3ComputedPrizes, tier4ComputedPrizes, tier5ComputedPrizes, tier6ComputedPrizes, tier7ComputedPrizes, tier8ComputedPrizes, tier9ComputedPrizes, tier10ComputedPrizes
1,4,100000000000000000,$2123.845 USD,$1894.729 USD,$100894.729 USD, $99000.000 USD, $0.000 USD,722603585451958579,38538857890771115,12846285963590374400,12846285963590374400,513851438543614976,513851438543614976,0,0,0,0,0,0,0,6423142981795187200,1605785745448796800,16057857454487968,4014464363621992,0,0,0,0,0,0,0,$21196.371 USD,$5299.092 USD,$52.990 USD,$13.247 USD,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,4,100000000000000000,$1096.619 USD,$999.886 USD,$32360.896 USD, $21154.956 USD, $10206.053 USD,128961782434728442,6877961729852195,15903157843524677700,9480014861729490500,3056871879934303300,122274875197372132,0,0,0,0,0,0,0,7951578921762338850,1185001857716186312,95527246247946978,955272462479469,0,0,0,0,0,0,0,$26240.210 USD,$3910.506 USD,$315.239 USD,$3.152 USD,,,,,,,,0,0,7,16,0,0,0,0,0,0,0,0,0,7,16,0,0,0,0,0,0,0
3,5,100000000000000000,$1096.919 USD,$999.886 USD,$7039.479 USD, $3461.560 USD, $2578.032 USD,16263790725781783,867402172041699,16417173945475308100,9994030963680120900,1851397549421887700,514016101950630400,20560644078025216,0,0,0,0,0,0,8208586972737654050,1249253870460015112,57856173419433990,4015750796489300,40157507964893,0,0,0,0,0,0,$27088.337 USD,$4122.537 USD,$190.925 USD,$13.251 USD,$0.132 USD,,,,,,,0,0,0,40,136,0,0,0,0,0,0,0,0,0,40,136,0,0,0,0,0,0
4,6,100000000000000000,$1097.220 USD,$999.886 USD,$1809.686 USD, $357.456 USD, $452.343 USD,2506509804385727,133680522900572,16522798062335011500,10099655080539824300,1957021666281591100,350584915445550700,105624116859703400,4224964674388136,0,0,0,0,0,8261399031167505750,1262456885067478037,61156927071299721,2738944651918364,206297103241608,2062971032416,0,0,0,0,0,$27262.616 USD,$4166.107 USD,$201.817 USD,$9.038 USD,$0.680 USD,$0.006 USD,,,,,,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,183,800,0,0,0,0,0
5,7,100000000000000000,$1097.521 USD,$999.886 USD,$1622.476 USD, $526.734 USD, $95.855 USD,2266879975281901,120900265348369,16650166243113465300,10227023261318278100,1962075992917445300,450563649704820500,5094727231138152,5094727231138152,0,0,0,0,0,8325083121556732650,1278377907664784762,61314874778670165,3520028513318910,9950639123316,2487659780829,0,0,0,0,0,$27472.774 USD,$4218.647 USD,$202.339 USD,$11.616 USD,$0.032 USD,$0.008 USD,$0.000 USD,,,,,0,0,1,37,160,0,0,0,0,0,0,0,0,1,37,160,632,0,0,0,0,0
6,6,100000000000000000,$1097.821 USD,$999.886 USD,$1361.696 USD, $243.595 USD, $118.214 USD,1281646840952090,68354498184112,16746181340699908400,10323038358904721200,1996776215725218200,342417093518761600,3840603903457724,3840603903457724,0,0,0,0,0,8373090670349954200,1290379794863090150,62399256741413068,2675133543115325,7501179498940,1875294874735,0,0,0,0,0,$27631.199 USD,$4258.253 USD,$205.917 USD,$8.827 USD,$0.024 USD,$0.006 USD,,,,,,0,0,0,53,227,0,0,0,0,0,0,0,0,0,53,227,865,0,0,0,0,0
7,6,100000000000000000,$1098.122 USD,$999.886 USD,$1187.473 USD, $96.986 USD, $90.599 USD,835254208081929,44546891097703,16829612555119732800,10406469573324545600,2080207430145042600,254639761179200400,3337248576792976,3337248576792976,0,0,0,0,0,8414806277559866400,1300808696665568200,65006482192032581,1989373134212503,6518063626548,1629515906637,0,0,0,0,0,$27768.860 USD,$4292.668 USD,$214.521 USD,$6.564 USD,$0.021 USD,$0.005 USD,,,,,,0,0,0,62,245,0,0,0,0,0,0,0,0,0,62,245,951,0,0,0,0,0
8,6,100000000000000000,$1098.423 USD,$999.886 USD,$1528.252 USD, $448.672 USD, $79.693 USD,802378576280907,42793524068315,16936475700727891900,10513332718932704700,2057057611369136500,232193653063540500,4274525824326364,4274525824326364,0,0,0,0,0,8468237850363945950,1314166589866588087,64283050355285515,1814012914558910,8348683250637,2087170812659,0,0,0,0,0,$27945.184 USD,$4336.749 USD,$212.134 USD,$5.986 USD,$0.027 USD,$0.006 USD,,,,,,0,0,1,52,187,0,0,0,0,0,0,0,0,1,52,187,692,0,0,0,0,0
9,6,100000000000000000,$1098.724 USD,$999.886 USD,$1428.531 USD, $325.639 USD, $103.005 USD,564688537362526,30116721992669,17036751547525178600,10613608565729991400,2028767357455852000,203674582927138200,4011033871891468,4011033871891468,0,0,0,0,0,8518375773762589300,1326701070716248925,63398979920495375,1591207679118267,7834050531038,1958512632759,0,0,0,0,0,$28110.640 USD,$4378.113 USD,$209.216 USD,$5.250 USD,$0.025 USD,$0.006 USD,,,,,,0,0,1,47,209,0,0,0,0,0,0,0,0,1,47,209,801,0,0,0,0,0
10,6,100000000000000000,$1099.025 USD,$999.886 USD,$1803.342 USD, $706.145 USD, $97.310 USD,532684592793783,28409844949004,17162875112603512600,10739732130808325400,1901295002852204400,231143271900137600,5044942603133360,5044942603133360,0,0,0,0,0,8581437556301756300,1342466516351040675,59415468839131387,1805806811719825,9853403521744,2463350880436,0,0,0,0,0,$28318.743 USD,$4430.139 USD,$196.071 USD,$5.959 USD,$0.032 USD,$0.008 USD,,,,,,0,0,0,48,164,0,0,0,0,0,0,0,0,0,48,164,659,0,0,0,0,0
