Draw id, Number of Tiers, apr, POOL Burned, Start Draw Reward, Finish Draw Reward, tier1LiquidityRemaining, tier2LiquidityRemaining, tier3LiquidityRemaining, tier4LiquidityRemaining, tier5LiquidityRemaining, tier6LiquidityRemaining, tier7LiquidityRemaining, tier8LiquidityRemaining, tier9LiquidityRemaining, tier10LiquidityRemaining, tier11LiquidityRemaining, tier1PrizeSizes, tier2PrizeSizes, tier3PrizeSizes, tier4PrizeSizes, tier5PrizeSizes, tier6PrizeSizes, tier7PrizeSizes, tier8PrizeSizes, tier9PrizeSizes, tier10PrizeSizes, tier11PrizeSizes, tier1PrizeSizesUsd, tier2PrizeSizesUsd, tier3PrizeSizesUsd, tier4PrizeSizesUsd, tier5PrizeSizesUsd, tier6PrizeSizesUsd, tier7PrizeSizesUsd, tier8PrizeSizesUsd, tier9PrizeSizesUsd, tier10PrizeSizesUsd, tier11PrizeSizesUsd, tier1ClaimedPrizes, tier2ClaimedPrizes, tier3ClaimedPrizes, tier4ClaimedPrizes, tier5ClaimedPrizes, tier6ClaimedPrizes, tier7ClaimedPrizes, tier8ClaimedPrizes, tier9ClaimedPrizes, tier10ClaimedPrizes, tier11ClaimedPrizes, tier1ComputedPrizes, tier2ComputedPrizes, tier3ComputedPrizes, tier4ComputedPrizes, tier5ComputedPrizes, tier6ComputedPrizes, tier7ComputedPrizes, tier8ComputedPrizes, tier9ComputedPrizes, tier10ComputedPrizes, tier11ComputedPrizes
1,4,35000000000000000,0,6911310370706530,299490116063949,36860321977101300,36860321977101300,1843016098855065,1843016098855065,0,0,0,0,0,0,0,36860321977101300,9215080494275325,115188506178441,28797126544610,0,0,0,0,0,0,0,110.58,27.64,0.34,0.08,,,,,,,,0,4,16,0,0,0,0,0,0,0,0,0,4,16,64,0,0,0,0,0,0,0
2,4,45000000000000000,0,11253103817655569,487634498765074,96876875671264200,60016553694162900,3000827684708145,3000827684708145,0,0,0,0,0,0,0,96876875671264200,15004138423540725,187551730294259,46887932573564,0,0,0,0,0,0,0,290.63,45.01,0.56,0.14,,,,,,,,0,4,16,0,0,0,0,0,0,0,0,0,4,16,64,0,0,0,0,0,0,0
3,4,45000000000000000,44516325501020735154,15042642751720460,651847852574553,177104303680439900,80227428009175700,4011371400458785,4011371400458785,0,0,0,0,0,0,0,177104303680439900,20056857002293925,250710712528674,62677678132168,0,0,0,0,0,0,0,531.31,60.17,0.75,0.18,,,,,,,,0,4,16,64,0,0,0,0,0,0,0,0,4,16,64,0,0,0,0,0,0,0
4,4,55000000000000000,90060401157848822961,12643302347669697,547876435065686,244535249534677900,67430945854238000,67430945854238000,3371547292711900,0,0,0,0,0,0,0,244535249534677900,16857736463559500,4214434115889875,52680426448623,0,0,0,0,0,0,0,733.60,50.57,12.64,0.15,,,,,,,,0,0,16,0,0,0,0,0,0,0,0,0,0,16,64,0,0,0,0,0,0,0
5,5,60000000000000000,138045478348918941545,24794382084464059,1074423223660109,376771953985152800,132236704450474900,6611835222523745,6611835222523745,0,0,0,0,0,0,0,376771953985152800,33059176112618725,413239701407734,103309925351933,0,0,0,0,0,0,0,1130.31,99.17,1.23,0.30,0.00,,,,,,,0,4,16,64,0,0,0,0,0,0,0,0,4,16,64,0,0,0,0,0,0,0
6,4,65000000000000000,147201839696142528783,16711762045521173,724176355305917,465901351561265600,89129397576112800,89129397576112800,4456469878805640,0,0,0,0,0,0,0,465901351561265600,22282349394028200,5570587348507050,69632341856338,0,0,0,0,0,0,0,1397.70,66.84,16.71,0.20,,,,,,,,0,1,16,64,0,0,0,0,0,0,0,0,1,16,64,0,0,0,0,0,0,0
7,5,65000000000000000,226915491947314182807,19603150082075005,849469836889916,570451485332331900,171397181953150900,104550133771066300,5227506688553315,5227506688553315,0,0,0,0,0,0,570451485332331900,42849295488287725,6534383360691643,81679792008645,20419948002161,0,0,0,0,0,0,1711.35,128.54,19.60,0.24,0.06,,,,,,,0,0,16,64,0,0,0,0,0,0,0,0,0,16,64,256,0,0,0,0,0,0
8,5,60000000000000000,216793922624692551555,21988051805774211,952815578250215,687721094963127600,288666791583946600,117269609630795700,5863480481539785,5863480481539785,0,0,0,0,0,0,687721094963127600,72166697895986650,7329350601924731,91616882524059,22904220631014,0,0,0,0,0,0,2063.16,216.50,21.98,0.27,0.06,,,,,,,0,0,16,64,0,0,0,0,0,0,0,0,0,16,64,256,0,0,0,0,0,0
9,5,60000000000000000,229611862187563309880,24198299495643603,1048592978144555,816778692273226600,417724388894045600,129057597310099000,6452879865504950,6452879865504950,0,0,0,0,0,0,816778692273226600,104431097223511400,8066099831881187,100826247898514,25206561974628,0,0,0,0,0,0,2450.33,313.29,24.19,0.30,0.07,,,,,,,0,0,16,64,0,0,0,0,0,0,0,0,0,16,64,256,0,0,0,0,0,0
10,5,30000000000000000,250767728504758592062,25318160679929679,1097120296130285,951808882566184800,552754579187003800,135030190292958200,6751509514647910,6751509514647910,0,0,0,0,0,0,951808882566184800,138188644796750950,8439386893309887,105492336166373,26373084041593,0,0,0,0,0,0,2855.42,414.56,25.31,0.31,0.07,,,,,,,0,0,16,64,0,0,0,0,0,0,0,0,0,16,64,256,0,0,0,0,0,0
